product_name,product_url,product_price,product_category
"Corolle Bebe Bath Oceane - 12""",https://www.amazon.com/Corolle-Bebe-Bath-Oceane-inch/dp/B07LBB23T2,$39.47,Toys & Games 
"MasterPieces John Wayne Jigsaw Puzzle, America's Cowboy, Legendary Collection, 1000 Pieces",https://www.amazon.com/MasterPieces-Jigsaw-Americas-Legendary-Collection/dp/B0075KRCTU,$12.99,Toys & Games 
"Perler 80-22860 Instruction Pad for Fuse Beads, 86 Patterns, Summertime Fun Piece",https://www.amazon.com/Perler-80-22860-Summertime-Instruction-Patterns/dp/B07Q7M5PGZ,$5.99,"Arts, Crafts & Sewing "
Tiny Arcade Pole Position,https://www.amazon.com/Tiny-Arcade-384-Pole-Position/dp/B07Q8DS9S2,$16.82,Toys & Games 
WWE Rey Mysterio Elite Collection Action Figure,https://www.amazon.com/WWE-Mysterio-Collection-Action-Figure/dp/B07XC3JBLP,$25.99,Toys & Games 
Dragon Ball Fighterz - PlayStation 4,https://www.amazon.com/Dragon-Ball-Fighterz-PlayStation-4/dp/B0793GS8NL,$ 19 99 $39.95 #listPriceLegalMessageText { margin-left: 4px !important; } #listPriceLegalMessage .a-popover-trigger:hover { text-decoration: none !important; } #listPriceLegalMessage .a-icon-popover { display: none !important; margin-left: 0px !important; margin-top: 6px !important; } Save $19.96 (50%),Video Games 
Original 3D Crystal Puzzle - Swan,https://www.amazon.com/Original-3D-Crystal-Puzzle-Swan/dp/B0077QM0TE,$9.60,Toys & Games 
"Dark Horse Deluxe The Umbrella Academy Playing Cards, Multicolor",https://www.amazon.com/Dark-Horse-Deluxe-Umbrella-Multicolor/dp/B07KZHL9H9,$4.99,Toys & Games 
"Strawberry Shortcake Classic Doll, 6""",https://www.amazon.com/Basic-Fun-Classic-Strawberry-Shortcake/dp/B015FS93D6,$12.89,Toys & Games 
"Darice Doll Hat: Black Felt Top Hat, 2 inches, 1 Piece",https://www.amazon.com/Darice-Doll-Hat-Black-inches/dp/B00DD4W0QM,$4.35,Toys & Games 
"Sugarbooger Silicone Teether Set-of-Two, Happy Cactus",https://www.amazon.com/Sugarbooger-Silicone-Teether-Happy-Cactus/dp/B06XRW2TY8,$16.72,Baby Products 
"Wild Republic Horse Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins, Brown 12 Inches",https://www.amazon.com/Wild-Republic-Stuffed-Animal-Cuddlekins/dp/B00SOG0CMI,$16.22,Toys & Games 
LEGO Technic Power Functions Motor Set 8293 (10 Pieces),https://www.amazon.com/LEGO-Technic-Power-Functions-Motor/dp/B01E78WLCU,$28.82,Toys & Games 
"WalthersTrainline Ready to Run Union Pacific #908814 Firefighting Car, Green/Black",https://www.amazon.com/WalthersTrainline-Ready-Pacific-908814-Firefighting/dp/B0068S2CW2,$17.98,Toys & Games 
Punto Tin -The Pt.-to Pt. Card Game,https://www.amazon.com/Punto-Tin-Pt-Card-Game/dp/B07PF2358R,$9.99,Toys & Games 
Melissa & Doug Bella Butterfly Net,https://www.amazon.com/Melissa-Doug-Bella-Butterfly-Net/dp/B00270VYV0,$6.99,"Patio, Lawn & Garden "
Pokemon 3 Inch Alolan Muk Articulated Battle Action Figure,https://www.amazon.com/Pokemon-Alolan-Articulated-Battle-Action/dp/B078WY64TB,$10.40,Toys & Games 
"Jada Limited Edition 4"" METALFIGS - Power Rangers - RED Ranger M334 99270",https://www.amazon.com/LIMITED-METALFIGS-POWER-RANGERS-RANGER/dp/B076BVDJH6,$16.95,Toys & Games 
Medieval Princess Fuschia Child Costume,https://www.amazon.com/California-Costumes-00572-Medieval-Princess/dp/B01L4OS81I,$22.50 - $49.88,"Clothing, Shoes & Jewelry "
Vallejo Imperial Rome Era Paint Set,https://www.amazon.com/Vallejo-Imperial-Rome-Era-Paint/dp/B00H72RZ0W,$42.99,Toys & Games 
Indie Boards and Cards Flash Point Fire Rescue 2nd Story,https://www.amazon.com/Indie-Boards-Cards-Flash-Rescue/dp/B009SACAS8,$14.99,Toys & Games 
Dremel 7103 5/64-Inch Diamond Wheel Point,https://www.amazon.com/Dremel-7103-64-Inch-Diamond-Wheel/dp/B00004UDJ5,$6.96,Tools & Home Improvement 
"American Greetings My Little Pony Swirl Decorations, 12-Count, Multicolored - AMI 675513",https://www.amazon.com/Decorations-Little-Friendship-Collection-Accessory/dp/B00B8ECDK2,$7.90,Toys & Games 
Lightseekers Trading Card Game Intro Pack,https://www.amazon.com/Lightseekers-Trading-Card-Game-Intro/dp/B01NCO37QV,$7.99,Toys & Games 
"Amscan Party Supplies, Multicolor",https://www.amazon.com/Amscan-5000011-Witches-Beverage-Napkins/dp/B07D7HWYVW,$5.70,Toys & Games 
Nuts,https://www.amazon.com/Sandstorm-11080WDF-Nuts/dp/B0043T4C5S,$9.95,Toys & Games 
Carson Dellosa Key Education Verbs: Actions Learning Cards (845005),https://www.amazon.com/Carson-Dellosa-Key-Education-Verbs/dp/B000FA1USQ,$12.47,Toys & Games 
theory11 Product(RED) Playing Cards,https://www.amazon.com/theory11-Product-RED-Playing-Cards/dp/B075MSL5C5,$8.29,Toys & Games 
